w,频数,左信息熵,右信息熵,右右信息熵,凝聚度
藝術,245,1.7136373120176303,1.8135081929103565,3.5271455049279865,660.7825355235715
越來越,381,2.41888838534716,2.130078513597646,4.548966898944806,659.463882063882
航空,120,1.424803002782645,1.424803002782645,2.84960600556529,645.7751253282406
背景,93,1.9056183012905292,1.462659556358538,3.3682778576490673,644.7176333107817
援助,167,1.8068736715018536,1.4095284632001372,3.216402134701991,641.0858602486235
轉移,138,1.9578722547750005,1.7665844623190883,3.724456717094089,637.3888076928331
香港,893,2.8542075315471447,3.3967214158260752,6.25092894737322,636.0186869431515
系統,335,2.394025682123301,2.1403510962889087,4.534376778412209,635.2098333445483
熱門,69,1.5132892867728134,1.6924966545808107,3.205785941353624,635.0554164398476
記錄,157,2.201812900174348,1.5486755811937378,3.7504884813680857,633.2511242321226
習近平,368,1.962436523370819,2.880066655857975,4.842503179228794,631.454715219421
花園,37,1.3608925437978447,1.3608925437978447,2.7217850875956895,630.0555457635654
信息,250,2.178342990331612,2.199256089503897,4.377599079835509,626.849623865014
集團,110,1.5746635757530285,1.9995870916728358,3.574250667425864,623.6727028839705
情報機構,103,1.3415939059402464,1.7272355424702421,3.0688294484104883,616.4886052871467
引渡法案,6,1.3296613488547582,1.5607104090414063,2.8903717578961645,612.5797101449275
逃離,69,1.5634490380955575,1.3811995713949554,2.944648609490513,605.3953295277634
環境,232,1.8807756422076567,2.4052677208493125,4.286043363056969,598.4256062489989
教育,72,1.3685618176363206,1.720907995195061,3.0894698128313816,595.4549856922738
品牌,91,1.3074206980543184,1.3074206980543184,2.6148413961086368,588.2170418160097
指責,151,1.6770608611491467,1.8467884984603797,3.5238493596095264,570.7486390717743
深刻,50,1.3787962686570654,1.3787962686570654,2.757592537314131,556.8356223034615
提醒,113,1.5289681657199146,1.3407352377029151,2.8697034034228297,551.3628420741253
北京,839,2.439201236758153,3.212915376503263,5.652116613261416,549.1725540335327
排放,65,1.7782333057997073,1.7782333057997073,3.5564666115994146,542.2182751134793
宣布,187,1.9652779290501967,1.6701004039920175,3.6353783330422145,538.4366899981266
